,Diameter,Dia_Spline3_Base,Event
50,2.7860236881370817,-0.29486447075307964,default
51,2.7907418066913103,-0.2924932831880658,default
52,2.779782805954366,-0.29207429556857223,default
53,2.798658639351998,-0.27963451438333253,default
54,2.821625098034638,-0.26260219266058593,default
55,2.824945634162712,-0.25785035030896664,default
56,2.8143454726304022,-0.25948305357956025,default
57,2.825694446484573,-0.2426929449562807,default
58,2.88075709480166,-0.2139499792702133,default
59,2.8742546870575847,-0.20504926577087046,default
60,2.867799708226019,-0.20986417470010688,default
61,2.867952437916281,-0.21603276482695355,default
62,2.849427596859936,-0.22586625410369043,default
63,2.846990592175417,-0.22185217156353998,default
64,2.8864457727614,-0.20432663929127637,default
65,2.880074545363009,-0.19471391757030698,default
66,2.891812706457683,-0.18943629976493748,default
67,2.895818082888204,-0.18325355226142026,default
68,2.900800158946557,-0.1823563111814548,default
69,2.890419594719193,-0.18248800737866278,default
70,2.905671862326736,-0.1747822741156324,default
71,2.9163708243911355,-0.16891709708356784,default
72,2.9031813407830507,-0.16286974070023286,default
73,2.943050771468162,-0.1602530104584985,default
74,2.88696831467296,-0.17317108090794608,default
75,2.907591515780464,-0.17783067236163141,default
76,2.9037892045459155,-0.17151935201444024,default
77,2.916015907296273,-0.17996705393454926,default
78,2.861574005349671,-0.19636471971637004,default
79,2.892640443365234,-0.18940365060377884,default
80,2.912793745731075,-0.173794876916876,default
81,2.9038557977314423,-0.18268985828669804,default
82,2.865998465885579,-0.19291952197554485,default
83,2.9097324228215493,-0.1874457895300785,default
84,2.882016770577339,-0.18396935236696965,default
85,2.9076198667822246,-0.15017752836228881,default
86,3.0192966226353883,-0.1149006887942643,default
87,2.911447372996272,-0.13628971052622063,default
88,2.9299130294935147,-0.14614201973941654,default
89,2.9614217292853624,-0.12863679688060614,default
90,2.9499595646396664,-0.13218910600996558,default
91,2.927165957621773,-0.13148338108895574,default
92,2.9870382359872965,-0.11596389818134023,default
93,2.952165217904603,-0.10802523780144346,default
94,2.9937936172240542,-0.10326467347889379,default
95,2.964452093958042,-0.1137024049005464,default
96,2.939755815484005,-0.12950941362230362,default
97,2.9552618608110635,-0.1358699002301953,default
98,2.9235041021994155,-0.15174710551797244,default
99,2.908004752944546,-0.1628692370987892,default
100,2.9262726837426656,-0.14659584225460387,default
101,2.970329750778039,-0.11889378122763539,default
102,2.9747559300170443,-0.1296506801967885,default
103,2.878818908627048,-0.17066356222952672,default
104,2.902215244037083,-0.17912023628480567,default
105,2.9175328983858924,-0.1639350968533857,default
106,2.9242418120039213,-0.16420277321359533,default
107,2.8944356249782155,-0.17331494573335782,default
108,2.9108903953325456,-0.17307033924709314,default
109,2.908765467594651,-0.17062174166150257,default
110,2.906354943058473,-0.18210781497728368,default
111,2.867356626605599,-0.18983141742270204,default
112,2.9168693742658496,-0.18058338413437935,default
113,2.893834328551516,-0.18659474956888067,default
114,2.866346210581927,-0.19922282796642587,default
115,2.8938451786452557,-0.19313009891124544,default
116,2.89070627670891,-0.1733738904029658,default
117,2.9485099465513924,-0.13508553198725481,default
118,2.989194942465616,-0.10652362347654609,default
119,2.9642689148375205,-0.10851315221979085,default
120,2.9654778592065107,-0.10499835480670461,default
121,3.0020451877489696,-0.09116150933453859,default
122,2.983048968183725,-0.0944817837429821,default
123,2.9711929811379827,-0.10104197196474418,default
124,2.9876604219076626,-0.09848133619703914,default
