Filename,LHIPA,IPA,Low level value
23-09-15-31-highlux-ONEBACK,2.1272,0.3054,0
23-09-15-34-highlux-TWOBACK,1.9985,0.2779,0
23-09-15-36-highlux-THREEBACK,2.2376,0.2437,0
26-09-11-12-lowlux-nothing,4.6549,0.2252,0
26-09-11-14-middlelux-nothing,4.4218,0.3458,0
26-09-11-16-highlux-nothing,4.8322,0.2313,0
26-09-11-19-lowlux-ONEBACK,2.3254,0.4822,0
26-09-11-23-middlelux-ONEBACK,2.1802,0.4088,0
26-09-11-26-highlux-ONEBACK,2.0136,0.4159,0
26-09-11-29-lowlux-TWOBACK,2.1453,0.3519,0
26-09-11-33-middlelux-TWOBACK,2.1897,0.0327,0
26-09-11-36-highlux-TWOBACK,2.0586,0.2925,0
26-09-11-43-lowlux-THREEBACK,1.7243,0.2195,0
26-09-11-47-middlelux-THREEBACK,2.1089,0.2623,0
26-09-11-50-highlux-THREEBACK,1.8228,0.3404,0
26-09-13-25-lowlux-nothing,4.635,0.364,0
26-09-13-27-middlelux-nothing,3.1459,0.0963,0
26-09-13-28-highlux-nothing,3.4115,0.0731,0
26-09-13-32-lowlux-ONEBACK,2.1248,0.267,0
26-09-13-35-middlelux-ONEBACK,1.7247,0.0338,0
26-09-13-39-highlux-ONEBACK,1.4264,0.0324,0
26-09-13-44-lowlux-TWOBACK,2.1462,0.2446,0
26-09-13-48-middlelux-TWOBACK,1.6367,0.0321,0
26-09-13-54-highlux-TWOBACK,1.6934,0.292,0
26-09-14-00-lowlux-THREEBACK,2.0355,0.1446,0
26-09-14-02-middlelux-THREEBACK,1.3313,0.0347,0
26-09-14-05-highlux-THREEBACK,1.3291,0.0335,0
26-09-14-19-lowlux-nothing,3.4078,0.202,0
26-09-14-22-middlelux-nothing,3.5277,0.071,0
26-09-14-24-highlux-nothing,2.9539,0.0676,0
26-09-14-28-lowlux-ONEBACK,1.8592,0.2128,0
26-09-14-31-middlelux-ONEBACK,2.0252,0.2642,0
26-09-14-37-lowlux-TWOBACK,1.8914,0.1446,0
26-09-14-40-middlelux-TWOBACK,1.8195,0.3268,0
26-09-14-50-lowlux-THREEBACK,2.0478,0.1343,0
26-09-14-52-middlelux-THREEBACK,1.8099,0.1788,0
26-09-14-55-highlux-THREEBACK,1.6275,0.1796,0
26-09-14-58-highlux-TWOBACK,2.74,0.2005,0
26-09-15-00-highlux-ONEBACK,2.8618,0.2918,0
26-09-15-08-lowlux-nothing,3.17,0.2588,0
26-09-15-10-middlelux-nothing,3.0874,0.0922,0
26-09-15-12-highlux-nothing,3.1139,0.1316,0
26-09-15-15-lowlux-ONEBACK,3.3222,0.0331,0
26-09-15-18-middlelux-ONEBACK,3.0638,0.0999,0
26-09-15-26-highlux-ONEBACK,3.2218,0.1545,0
26-09-15-31-lowlux-TWOBACK,3.1247,0.0221,0
26-09-15-34-middlelux-TWOBACK,3.2149,0.0335,0
26-09-15-37-highlux-TWOBACK,3.1022,0.2032,0
26-09-15-43-lowlux-THREEBACK,3.2742,0.067,0
26-09-15-46-middlelux-THREEBACK,3.237,0.1698,0
26-09-15-48-highlux-THREEBACK,3.2624,0.2755,0
26-09-16-34-lowlux-nothing,3.3877,0.1462,0
26-09-16-36-middlelux-nothing,3.7634,0.3536,0
26-09-16-38-highlux-nothing,3.5415,0.3803,0
26-09-16-41-lowlux-ONEBACK,1.7564,0.0788,0
26-09-16-44-middlelux-ONEBACK,1.9052,0.3334,0
26-09-16-47-highlux-ONEBACK,2.0136,0.3004,0
26-09-16-51-lowlux-TWOBACK,1.9118,0.3059,0
26-09-16-56-middlelux-TWOBACK,2.269,0.2892,0
26-09-17-00-highlux-TWOBACK,2.2301,0.2774,0
26-09-17-05-lowlux-THREEBACK,2.0022,0.2892,0
26-09-17-10-middlelux-THREEBACK,2.0369,0.2202,0
26-09-17-13-highlux-THREEBACK,2.0413,0.2663,0
27-09-14-27-middlelux-nothing,4.8642,0.2837,0
27-09-14-30-middlelux-ONEBACK,2.2999,0.0859,0
27-09-14-32-middlelux-TWOBACK,2.3778,0.1651,0
27-09-14-34-middlelux-THREEBACK,2.1321,0.0989,0
