Filename,LHIPA,IPA,Low level value,Max level value
26-09-14-55-highlux-THREEBACK,1.6275,0.1796,4,8
26-09-14-58-highlux-TWOBACK,2.74,0.2005,3,7
26-09-15-00-highlux-ONEBACK,2.8618,0.2918,3,7
26-09-15-08-lowlux-nothing,3.17,0.2588,3,6
26-09-15-10-middlelux-nothing,3.0874,0.0922,3,6
26-09-15-12-highlux-nothing,3.1139,0.1316,3,6
26-09-15-15-lowlux-ONEBACK,3.3222,0.0331,3,7
26-09-15-18-middlelux-ONEBACK,3.0638,0.0999,3,7
26-09-15-26-highlux-ONEBACK,3.2218,0.1545,3,7
26-09-15-31-lowlux-TWOBACK,3.1247,0.0221,3,7
26-09-15-34-middlelux-TWOBACK,3.2149,0.0335,3,7
26-09-15-37-highlux-TWOBACK,3.1022,0.2032,3,7
26-09-15-43-lowlux-THREEBACK,3.2742,0.067,3,7
26-09-15-46-middlelux-THREEBACK,3.237,0.1698,3,7
26-09-15-48-highlux-THREEBACK,3.2624,0.2755,3,7
26-09-16-34-lowlux-nothing,3.3877,0.1462,3,7
26-09-16-36-middlelux-nothing,3.7634,0.3536,3,7
26-09-16-38-highlux-nothing,3.5415,0.3803,3,7
26-09-16-41-lowlux-ONEBACK,1.7564,0.0788,4,8
26-09-16-44-middlelux-ONEBACK,1.9052,0.3334,4,8
26-09-16-47-highlux-ONEBACK,2.0136,0.3004,4,8
26-09-16-51-lowlux-TWOBACK,1.9118,0.3059,4,8
26-09-16-56-middlelux-TWOBACK,2.269,0.2892,4,8
26-09-17-00-highlux-TWOBACK,2.2301,0.2774,4,8
26-09-17-05-lowlux-THREEBACK,2.0022,0.2892,4,8
26-09-17-10-middlelux-THREEBACK,2.0369,0.2202,4,8
26-09-17-13-highlux-THREEBACK,2.0413,0.2663,4,8
27-09-14-27-middlelux-nothing,4.8642,0.2837,3,6
27-09-14-30-middlelux-ONEBACK,2.2999,0.0859,4,8
27-09-14-32-middlelux-TWOBACK,2.3778,0.1651,4,8
27-09-14-34-middlelux-THREEBACK,2.1321,0.0989,4,8
